post_id,meta_key,meta_value
77021,_ywgc_amount_total,100
77022,_ywgc_amount_total,100
77023,_ywgc_amount_total,200
77024,_ywgc_amount_total,100
77025,_ywgc_amount_total,150
77026,_ywgc_amount_total,150
77027,_ywgc_amount_total,150
77028,_ywgc_amount_total,250
77029,_ywgc_amount_total,250
77030,_ywgc_amount_total,250
77031,_ywgc_amount_total,200
77032,_ywgc_amount_total,200
77033,_ywgc_amount_total,100
77034,_ywgc_amount_total,300
77035,_ywgc_amount_total,100
77036,_ywgc_amount_total,250
77037,_ywgc_amount_total,125
77038,_ywgc_amount_total,100
77039,_ywgc_amount_total,300
77040,_ywgc_amount_total,100
77041,_ywgc_amount_total,150
77042,_ywgc_amount_total,200
77043,_ywgc_amount_total,125
77044,_ywgc_amount_total,250
77045,_ywgc_amount_total,300
77046,_ywgc_amount_total,200
77047,_ywgc_amount_total,200
77049,_ywgc_amount_total,150
77050,_ywgc_amount_total,150
77051,_ywgc_amount_total,200
77052,_ywgc_amount_total,300
77053,_ywgc_amount_total,100
77055,_ywgc_amount_total,300
77056,_ywgc_amount_total,500
77057,_ywgc_amount_total,150
77058,_ywgc_amount_total,100
77059,_ywgc_amount_total,200
77061,_ywgc_amount_total,120
77062,_ywgc_amount_total,150
77063,_ywgc_amount_total,125
77064,_ywgc_amount_total,200
77065,_ywgc_amount_total,200
77066,_ywgc_amount_total,100
77067,_ywgc_amount_total,200
77068,_ywgc_amount_total,250
77069,_ywgc_amount_total,100
77070,_ywgc_amount_total,350
77071,_ywgc_amount_total,100
77072,_ywgc_amount_total,200
77073,_ywgc_amount_total,150
77074,_ywgc_amount_total,100
77075,_ywgc_amount_total,100
77076,_ywgc_amount_total,100
77077,_ywgc_amount_total,140
77078,_ywgc_amount_total,100
77079,_ywgc_amount_total,200
77080,_ywgc_amount_total,200
77081,_ywgc_amount_total,150
77082,_ywgc_amount_total,150
77083,_ywgc_amount_total,100
77084,_ywgc_amount_total,100
77085,_ywgc_amount_total,125
77086,_ywgc_amount_total,250
77087,_ywgc_amount_total,100
77088,_ywgc_amount_total,200
77089,_ywgc_amount_total,300
77090,_ywgc_amount_total,80
77091,_ywgc_amount_total,400
77092,_ywgc_amount_total,100
77093,_ywgc_amount_total,150
77094,_ywgc_amount_total,200
77095,_ywgc_amount_total,150
77096,_ywgc_amount_total,50
77097,_ywgc_amount_total,150
77098,_ywgc_amount_total,150
77099,_ywgc_amount_total,200
77100,_ywgc_amount_total,250
77101,_ywgc_amount_total,100
77102,_ywgc_amount_total,250
77103,_ywgc_amount_total,150
77104,_ywgc_amount_total,250
77105,_ywgc_amount_total,50
77106,_ywgc_amount_total,200
77108,_ywgc_amount_total,350
77109,_ywgc_amount_total,135
77110,_ywgc_amount_total,150
77111,_ywgc_amount_total,150
77112,_ywgc_amount_total,100
77113,_ywgc_amount_total,200
77114,_ywgc_amount_total,100
77115,_ywgc_amount_total,350
77116,_ywgc_amount_total,100
77117,_ywgc_amount_total,100
77118,_ywgc_amount_total,100
77119,_ywgc_amount_total,50
77120,_ywgc_amount_total,400
77121,_ywgc_amount_total,185
77122,_ywgc_amount_total,75
77123,_ywgc_amount_total,200
77124,_ywgc_amount_total,60
77125,_ywgc_amount_total,100
77126,_ywgc_amount_total,200
77127,_ywgc_amount_total,100
77128,_ywgc_amount_total,150
77129,_ywgc_amount_total,175
77130,_ywgc_amount_total,100
77131,_ywgc_amount_total,250
77132,_ywgc_amount_total,125
77133,_ywgc_amount_total,150
77134,_ywgc_amount_total,150
77135,_ywgc_amount_total,75
77136,_ywgc_amount_total,250
77137,_ywgc_amount_total,125
77138,_ywgc_amount_total,125
77139,_ywgc_amount_total,500
77140,_ywgc_amount_total,300
77141,_ywgc_amount_total,400
77142,_ywgc_amount_total,125
77143,_ywgc_amount_total,200
77144,_ywgc_amount_total,100
77145,_ywgc_amount_total,300
77146,_ywgc_amount_total,200
77147,_ywgc_amount_total,250
77149,_ywgc_amount_total,200
77150,_ywgc_amount_total,600
77151,_ywgc_amount_total,100
77152,_ywgc_amount_total,200
77153,_ywgc_amount_total,150
77154,_ywgc_amount_total,150
77155,_ywgc_amount_total,75
77156,_ywgc_amount_total,300
77157,_ywgc_amount_total,100
77158,_ywgc_amount_total,200
77159,_ywgc_amount_total,150
77160,_ywgc_amount_total,100
77161,_ywgc_amount_total,200
77162,_ywgc_amount_total,400
77163,_ywgc_amount_total,230
77164,_ywgc_amount_total,300
77165,_ywgc_amount_total,100
77166,_ywgc_amount_total,100
77167,_ywgc_amount_total,80
77168,_ywgc_amount_total,250
77169,_ywgc_amount_total,200
77170,_ywgc_amount_total,150
77171,_ywgc_amount_total,100
77172,_ywgc_amount_total,100
77173,_ywgc_amount_total,175
77174,_ywgc_amount_total,250
77175,_ywgc_amount_total,300
77176,_ywgc_amount_total,100
77177,_ywgc_amount_total,250
77178,_ywgc_amount_total,200
77179,_ywgc_amount_total,200
77180,_ywgc_amount_total,100
77181,_ywgc_amount_total,200
77182,_ywgc_amount_total,150
77183,_ywgc_amount_total,150
77184,_ywgc_amount_total,300
77185,_ywgc_amount_total,300
77186,_ywgc_amount_total,125
77187,_ywgc_amount_total,150
77188,_ywgc_amount_total,100
77189,_ywgc_amount_total,100
77190,_ywgc_amount_total,200
77191,_ywgc_amount_total,150
