post_id,meta_key,meta_value
81421,_ywgc_balance_total,150
81424,_ywgc_balance_total,300
81427,_ywgc_balance_total,200
81430,_ywgc_balance_total,200
81431,_ywgc_balance_total,500
81432,_ywgc_balance_total,100
81434,_ywgc_balance_total,300
81437,_ywgc_balance_total,250
81439,_ywgc_balance_total,400
81440,_ywgc_balance_total,400
81445,_ywgc_balance_total,100
81446,_ywgc_balance_total,250
81447,_ywgc_balance_total,150
81449,_ywgc_balance_total,200
81453,_ywgc_balance_total,50
81456,_ywgc_balance_total,150
81457,_ywgc_balance_total,300
81459,_ywgc_balance_total,200
81460,_ywgc_balance_total,75
81467,_ywgc_balance_total,500
81469,_ywgc_balance_total,150
81472,_ywgc_balance_total,200
81473,_ywgc_balance_total,200
81474,_ywgc_balance_total,200
81477,_ywgc_balance_total,200
81478,_ywgc_balance_total,150
81481,_ywgc_balance_total,100
81482,_ywgc_balance_total,260
81487,_ywgc_balance_total,200
81490,_ywgc_balance_total,100
81491,_ywgc_balance_total,100
81498,_ywgc_balance_total,50
81499,_ywgc_balance_total,100
81503,_ywgc_balance_total,100
81504,_ywgc_balance_total,150
81506,_ywgc_balance_total,200
81509,_ywgc_balance_total,100
81516,_ywgc_balance_total,500
81519,_ywgc_balance_total,150
81523,_ywgc_balance_total,250
81524,_ywgc_balance_total,150
81525,_ywgc_balance_total,500
81528,_ywgc_balance_total,50
81529,_ywgc_balance_total,300
81535,_ywgc_balance_total,100
81536,_ywgc_balance_total,300
81541,_ywgc_balance_total,200
81543,_ywgc_balance_total,225
81544,_ywgc_balance_total,250
81558,_ywgc_balance_total,300
81562,_ywgc_balance_total,150
81563,_ywgc_balance_total,200
81564,_ywgc_balance_total,100
81565,_ywgc_balance_total,250
81566,_ywgc_balance_total,75
81567,_ywgc_balance_total,200
81568,_ywgc_balance_total,500
81572,_ywgc_balance_total,220
81574,_ywgc_balance_total,150
81575,_ywgc_balance_total,200
81576,_ywgc_balance_total,60
81581,_ywgc_balance_total,100
81584,_ywgc_balance_total,150
81587,_ywgc_balance_total,100
81589,_ywgc_balance_total,150
81591,_ywgc_balance_total,150
81593,_ywgc_balance_total,350
81598,_ywgc_balance_total,100
81600,_ywgc_balance_total,250
81601,_ywgc_balance_total,300
81605,_ywgc_balance_total,40
81606,_ywgc_balance_total,100
81612,_ywgc_balance_total,250
81615,_ywgc_balance_total,120
81616,_ywgc_balance_total,100
81617,_ywgc_balance_total,500
81620,_ywgc_balance_total,100
81621,_ywgc_balance_total,245
81623,_ywgc_balance_total,250
81624,_ywgc_balance_total,150
81626,_ywgc_balance_total,100
81628,_ywgc_balance_total,250
81629,_ywgc_balance_total,100
81633,_ywgc_balance_total,300
81637,_ywgc_balance_total,300
81638,_ywgc_balance_total,150
81640,_ywgc_balance_total,300
81641,_ywgc_balance_total,200
81642,_ywgc_balance_total,40
81644,_ywgc_balance_total,200
81646,_ywgc_balance_total,150
81649,_ywgc_balance_total,100
81651,_ywgc_balance_total,150
81652,_ywgc_balance_total,150
81654,_ywgc_balance_total,100
81656,_ywgc_balance_total,200
81658,_ywgc_balance_total,100
81659,_ywgc_balance_total,250
81661,_ywgc_balance_total,200
81665,_ywgc_balance_total,100
81669,_ywgc_balance_total,100
81673,_ywgc_balance_total,250
81674,_ywgc_balance_total,250
81682,_ywgc_balance_total,300
81689,_ywgc_balance_total,250
81694,_ywgc_balance_total,400
81695,_ywgc_balance_total,100
81698,_ywgc_balance_total,150
81700,_ywgc_balance_total,200
81701,_ywgc_balance_total,200
81702,_ywgc_balance_total,150
